Asset Group,Issue Description,Target Resolution Time,Target Resolution Date & Time,Target Duration (Hours),Actual Response Date & Time,Actual Resolution Date & Time,Actual Duration (Minutes),Actual Operation Time(Minutes),Technicians Count,Owning Department,Work Order Department,Status,Priority,Location,Life & Safety Asset,Failure Code,Cause Code,MaintenanceType
AIR HANDLING UNIT-05,AHU-A1121-010 – COIL IS DIRTY – AG-02-05,,2022-01-12 21:15:13,24,2022-01-11 20:20:00,2022-01-11 23:45:00,205.0,615.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY- AHU-A1121-010 –AG-02-05,,2022-04-20 08:52:59,24,2022-04-19 08:00:00,2022-04-19 14:00:00,360.0,355.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,FILTER BLOCKED - AHU-A1121-010) -CONCOURSE A-GROUND FLOOR AREA 003,,2022-07-18 09:04:32,24,2022-07-17 08:10:00,2022-07-17 11:30:00,200.0,305.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,BLOCKED,DRAIN CLOGGED,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY - AHU-A1121-012 – AG-02-05,,2022-01-21 22:13:20,24,2022-01-20 21:20:00,2022-01-20 23:55:00,155.0,465.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-012 - COOLING COIL DIRTY - AG-02-05,,2022-03-22 19:54:59,24,2022-03-21 19:00:00,2022-03-21 22:00:00,180.0,540.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-012- CHILLED WATER LINE PAINT FADED AG-02-05,,2022-08-16 20:59:16,24,2022-08-15 20:04:00,2022-08-15 23:10:00,186.0,306.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,CHILLED WATER ACTUATOR DAMAGE,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY-AG-02-05,,2022-08-19 22:56:48,24,2022-08-18 22:05:00,2022-08-18 23:55:00,110.0,330.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED - AG 02 04,,2023-04-22 08:24:59,24,2023-04-21 07:30:00,2023-04-21 10:30:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,"COOLING COIL DIRTY  – AG-02-05

",,2023-09-17 10:20:41,24,2023-09-16 09:25:00,2023-09-16 17:30:00,485.0,310.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,DUST ACCUMULATION,CM
AIR HANDLING UNIT-05,AHU-A1121-012 FILTER BLOCKED,,2023-10-25 20:34:34,24,2023-10-24 19:40:00,2023-10-24 22:50:00,190.0,185.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED-AHU-A1121-012)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2022-10-15 20:29:10,24,2022-10-14 19:35:00,2022-10-14 22:30:00,175.0,295.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,SUPPLY DUCT INSULATION BROKEN – AG-02-05,,2023-08-22 20:17:48,24,2023-08-21 19:25:00,2023-08-21 22:00:00,155.0,350.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AHU COOLING COIL DIRTY -AG-02-05,,2023-09-19 08:36:47,24,2023-09-18 07:45:00,2023-09-18 14:00:00,375.0,595.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,INSULATION DAMAGED AHU-A1121-012,,2023-09-24 08:37:25,24,2023-09-23 07:40:00,2023-09-23 12:00:00,260.0,300.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,COOLING COIL IS DIRTY,,2023-11-14 11:29:30,24,2023-11-13 10:35:00,2023-11-13 15:00:00,265.0,965.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,"COOLING COIL DIRTY  --  AG-02-05
",,2023-11-23 20:38:15,24,2023-11-22 19:45:00,2023-11-22 22:45:00,180.0,540.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED - AHU-A1121-012 – AG-02-05,,2024-01-02 00:27:32,24,2023-12-31 23:35:00,2024-01-01 01:35:00,120.0,205.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR DUCT CANVASS DAMAGED,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED  AIR HANDLING UNIT 074 (TAG NO:AHU-A1121-012)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2022-09-06 11:01:33,24,2022-09-05 10:10:00,2022-09-05 12:30:00,140.0,420.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AHU-A1121-012 – FILTER BLOCKED- -,,2022-09-29 03:03:29,24,2022-09-28 02:10:00,2022-09-28 03:10:00,60.0,120.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,BLOCKED,DRAIN CLOGGED,CM
AIR HANDLING UNIT-05,SUPPLY DUCT CANVAS AIR LEAKAGE - AHU-A1121-012 – AG-02-05,,2022-12-06 20:41:37,24,2022-12-05 19:50:00,2022-12-05 23:05:00,195.0,730.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,WATER LEAKAGE,BLOCKED DRAIN LINE,CM
AIR HANDLING UNIT-05,ABNORMAL SOUND-AHU-A1121-012)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2023-05-17 08:40:50,24,2023-05-16 07:45:00,2023-05-16 12:00:00,255.0,1275.0,5,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOISY,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,"FILTER BLOCKED, AHU-A1121-012, AG-02-05",,2023-05-25 02:02:01,24,2023-05-24 01:10:00,2023-05-24 06:15:00,305.0,320.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR FILTER DAMAGED,CM
AIR HANDLING UNIT-05,ABNORMAL SOUND -AHU-A1121-012 (AG-02-05),,2024-04-28 08:35:15,24,2024-04-27 07:45:00,2024-04-27 15:00:00,435.0,175.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOISY,BEARING PROBLEM,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY – AHU-A1121-012 – AG-02-05,,2023-11-06 21:10:54,24,2023-11-05 20:15:00,2023-11-06 00:15:00,240.0,960.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,:(AHU-A1121-012)-COOLING COIL DIRTY (AG-02-05),,2023-12-17 02:42:02,24,2023-12-16 01:50:00,2023-12-16 05:30:00,220.0,725.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,RETURN DUCT INSULATION DAMAGED,,2022-03-30 15:45:56,24,2022-03-29 14:55:00,2022-03-29 16:45:00,110.0,330.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED AHU-A1121-012 AG-02-05,,2022-02-26 01:23:26,24,2022-02-25 00:30:00,2022-02-25 03:30:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AHU FILTER IS DIRTY,,2022-08-09 23:08:19,24,2022-08-08 22:15:00,2022-08-08 23:45:00,90.0,180.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY -AG-02-05,,2022-08-16 17:16:31,24,2022-08-15 16:25:00,2022-08-15 18:45:00,140.0,280.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY,,2022-01-07 20:32:05,24,2022-01-06 19:40:00,2022-01-06 23:40:00,240.0,720.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY- AHU-A1121-012–AG-02-05,,2022-04-20 08:55:06,24,2022-04-19 08:00:00,2022-04-19 11:00:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT DIRTY AIR HANDLING UNIT 183 (TAG NO:AHU-A1155-001)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2022-03-01 21:28:03,24,2022-02-28 20:35:00,2022-02-28 22:35:00,120.0,360.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AHU-A1155-001 ACCESS DOOR AIR LEAKAGE,,2022-04-22 13:51:38,24,2022-04-21 13:00:00,2022-04-21 16:30:00,210.0,590.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05,FILTER DIRTY -AG-02-40,,2022-07-17 20:02:40,24,2022-07-16 19:10:00,2022-07-16 23:00:00,230.0,370.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-001 - DP1 FILTER IS DIRTY – AG-02-40,,2022-09-24 23:05:26,24,2022-09-23 22:15:00,2022-09-23 23:45:00,90.0,180.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,"CHILLED WATER LINE PAINT FADED, AHU-A1155-001,  AG-02-40",,2023-04-22 12:06:56,24,2023-04-21 11:15:00,2023-04-21 14:00:00,165.0,495.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,CHILLED WATER ACTUATOR DAMAGE,CM
AIR HANDLING UNIT-05,CHILL WATER LINE PIPE PAINT FADED – AHU-1155-001 – AG-02-40,,2023-07-30 14:17:13,24,2023-07-29 13:25:00,2023-07-29 17:00:00,215.0,355.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED - AHU-A1155-001 – AG-02-40,,2023-10-28 17:08:16,24,2023-10-27 16:15:00,2023-10-27 18:00:00,105.0,210.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AHU-A1155-001 COIL DIRTY AG-02-40,,2023-11-04 21:50:42,24,2023-11-03 21:00:00,2023-11-04 01:00:00,240.0,960.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,CABIN LAMP FAULTY - AHU-A1155-001 – AG-02-40,,2023-11-12 10:20:27,24,2023-11-11 09:25:00,2023-11-11 10:25:00,60.0,120.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOT WORKING,MARINE LIGHT NOT WORKING,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED- AG-02-40,,2023-11-27 04:01:22,24,2023-11-26 03:10:00,2023-11-26 05:10:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AHU-A1155-001 SUPPLY DUCT INSULATION DAMAGED,,2023-08-24 23:26:34,24,2023-08-23 22:35:00,2023-08-24 00:35:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AHU COIL DIRTY - AHU-A1155-001,,2022-11-07 01:29:25,24,2022-11-06 00:35:00,2022-11-06 04:30:00,235.0,705.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,"AHU FILTER DIRTY – AHU-A1155-001 , AG-02-40",,2023-02-15 08:25:38,24,2023-02-14 07:30:00,2023-02-14 11:00:00,210.0,420.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-001 FILTER DIRTY,,2024-01-25 01:22:03,24,2024-01-24 00:30:00,2024-01-24 03:30:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED,,2023-12-20 21:31:02,24,2023-12-19 20:35:00,2023-12-19 23:35:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR DUCT CANVASS DAMAGED,CM
AIR HANDLING UNIT-05,Mechanical room is negatively pressurized impacting room door closing and may have equal impact to AHU/FCU panels. AG-02-40,,2024-03-27 14:58:35,24,2024-03-26 14:05:00,2024-03-26 16:30:00,145.0,195.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05,"DP1 FINAL FILTER STATUS FILTERS 936-AIR HANDLING UNIT 183 (TAG NO:AHU-A1155-001)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003	 	PROJECT8.LOGICALVIEW:LOGICAL.BAC3.A1155.GNDP1.IBFE02.AHU001.SYSALM.DP1 / 					
",,2022-05-31 17:33:16,24,2022-05-30 16:40:00,2022-05-30 18:50:00,130.0,75.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,AHU COOLING COIL DIRTY -AG-02-40,,2022-02-15 20:31:02,24,2022-02-14 19:40:00,2022-02-14 22:40:00,180.0,540.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,CHILL WATER LINE PIPE PAINT IS FADED - AHU-A1155-001 - MECHANICAL ROOM AG-02-40,,2022-04-23 16:20:19,24,2022-04-22 15:25:00,2022-04-22 18:15:00,170.0,305.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,LIGHTING FLEXIBLE CONNECTOR IS DAMAGED,,2022-05-21 15:28:52,24,2022-05-20 14:40:00,2022-05-20 16:04:00,84.0,168.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,DRAIN LINE PIT DIRTY –AG-02-40-HU-A1155-001)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2022-06-05 22:57:49,24,2022-06-04 22:05:00,2022-06-04 23:35:00,90.0,270.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,DP1 FILTER ALARM - AHU-A1155-002 – AG-02-40,,2022-03-29 11:19:27,24,2022-03-28 10:25:00,2022-03-28 13:15:00,170.0,305.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-002 – DP1 FILTER ALARM ACTIVATED--,,2022-05-15 07:19:51,24,2022-05-14 06:25:00,2022-05-14 09:00:00,155.0,245.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR FILTER DAMAGED,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED-AHU-A1155-002)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2022-06-05 20:22:41,24,2022-06-04 19:25:00,2022-06-04 21:25:00,120.0,360.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AHU-A1155-002 - DP1 FILTER IS DIRTY – AG-02-40,,2022-09-24 23:06:43,24,2022-09-23 22:15:00,2022-09-23 23:45:00,90.0,180.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-002  CHILLED WATER LINE PAINT FADED,,2023-04-02 21:02:01,24,2023-04-01 20:10:00,2023-04-01 23:00:00,170.0,510.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AC VENT DIRTY - AHU-A11155.002 - A1 03A 02,,2023-04-14 08:23:03,24,2023-04-13 07:25:00,2023-04-13 12:40:00,315.0,310.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,"CHILLED WATER LINE PAINT FADED, AHU-A1155-002, AG-02-40",,2023-04-22 12:08:31,24,2023-04-21 11:15:00,2023-04-21 14:30:00,195.0,390.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,CHILL WATER LINE PIPE PAINT FADED – AHU-1155-002 – AG-02-40,,2023-07-30 14:19:34,24,2023-07-29 13:25:00,2023-07-29 17:00:00,215.0,355.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,DRAIN LINE DAMAGED,CM
AIR HANDLING UNIT-05,BELT WOBBLING-AIR HANDLING UNIT 184 (TAG NO:AHU-A1155-002)-AG-02-14,,2023-10-14 15:26:02,24,2023-10-13 14:35:00,2023-10-13 17:00:00,145.0,290.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,VIBRATION OF EQUIPMENT DUE TO LOOSE PARTS,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED - AHU-A1155-002 – AG-02-40,,2023-10-28 17:09:07,24,2023-10-27 16:15:00,2023-10-27 18:00:00,105.0,315.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,LIGHTING SWITCH FAULTY,,2023-11-10 16:22:36,24,2023-11-09 15:27:00,2023-11-09 17:50:00,143.0,286.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,PARTS DAMAGED,CM
AIR HANDLING UNIT-05,AC VENT DIRTY A1-03A-03,,2023-11-11 14:23:56,24,2023-11-10 13:27:00,2023-11-10 17:30:00,243.0,545.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,"AC VENT DIRTY, A1-03A-02",,2024-02-18 14:06:05,24,2024-02-17 13:15:00,2024-02-17 18:00:00,285.0,180.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU CABIN LAMP  NOT WORING-AG-02-40,,2022-11-13 14:11:57,24,2022-11-12 13:18:00,2022-11-12 15:00:00,102.0,187.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOT WORKING,MARINE LIGHT NOT WORKING,CM
AIR HANDLING UNIT-05,AC VENT DIRTY -A1-03A-03,,2022-12-05 15:15:58,24,2022-12-04 14:20:00,2022-12-04 17:20:00,180.0,720.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,SUPPLY DUCT CANVAS AIR LEAKAGE – AG-02-40,,2022-12-26 20:09:40,24,2022-12-25 19:20:00,2022-12-25 22:20:00,180.0,720.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05,FILTER DIRTY - AHU-A1155-002 - AG-02-40,,2023-05-07 23:24:03,24,2023-05-06 22:30:00,2023-05-06 23:50:00,80.0,160.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,AHU CABIN LAMP FAULTY - AHU-A1155-002 – AG-02-40,,2023-08-10 15:50:03,24,2023-08-09 14:58:00,2023-08-09 18:20:00,202.0,177.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOT WORKING,MARINE LIGHT NOT WORKING,CM
AIR HANDLING UNIT-05,AHU LIGHTING SWITCH AHU-A1155-002 AG-02-04,,2023-08-08 20:17:31,24,2023-08-07 19:27:00,2023-08-07 22:25:00,178.0,356.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,AHU-A1155-002 SUPPLY DUCT INSULATION DAMAGED,,2023-08-24 23:32:35,24,2023-08-23 22:40:00,2023-08-24 00:40:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AC VENT DIRTY A1-03A-02,,2023-11-11 14:25:04,24,2023-11-10 13:30:00,2023-11-10 17:30:00,240.0,545.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,DUST ACCUMULATION,CM
AIR HANDLING UNIT-05,AHU-A1155-002 ABNORMAL NOISE AG-02-40,,2024-01-24 09:40:16,24,2024-01-23 08:45:00,2024-01-23 18:30:00,585.0,425.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOISY,BEARING PROBLEM,CM
AIR HANDLING UNIT-05,AC VENT DIRTY-A1-03A-02,,2024-01-25 14:48:18,24,2024-01-24 13:55:00,2024-01-24 16:00:00,125.0,260.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,DUST ACCUMULATION,CM
AIR HANDLING UNIT-05,AC VENT DIRTY-A1-03A-03,,2024-01-25 14:49:56,24,2024-01-24 13:55:00,2024-01-24 16:13:00,138.0,284.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-002 – DRAIN BIT IS BLOCKED – AG-02-40,,2022-08-14 13:24:02,24,2022-08-13 12:34:00,2022-08-13 15:32:00,178.0,356.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,BLOCKED,DRAIN CLOGGED,CM
AIR HANDLING UNIT-05,DP1 FINAL FILTER STATUS,,2022-10-04 16:35:39,24,2022-10-03 15:40:00,2022-10-03 20:00:00,260.0,120.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-002 – RETURN SIDE MOTOR COOLING FAN DAMAGED-AG-02-40,,2022-11-14 08:50:36,24,2022-11-13 08:00:00,2022-11-13 13:00:00,300.0,440.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,"SUPPLY DUCT CANVAS AIR LEAKAGE – AHU-A1155-002 ,AG-02-40",,2023-02-18 21:30:57,24,2023-02-17 20:40:00,2023-02-17 23:40:00,180.0,720.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05,FILTER ALARM - AHU-A1155-002 - AG 02 40,,2023-07-19 09:47:59,24,2023-07-18 08:55:00,2023-07-18 13:15:00,260.0,365.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,NOT WORKING,AIR FILTER BLOCKED,CM
AIR HANDLING UNIT-05,ABNORMAL SOUND - AHU-A1155-002  --AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003,,2023-10-13 08:38:11,24,2023-10-12 07:45:00,2023-10-12 14:00:00,375.0,1125.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,BELT DAMAGE,CM
AIR HANDLING UNIT-05,"AC VENT DIRTY, A1-03A-03",,2024-02-18 14:06:09,24,2024-02-17 13:15:00,2024-02-17 15:00:00,105.0,210.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,"SUPPLY AIR LOW ALARM  (TAG NO:AHU-A1155-002)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 003							
",,2024-03-26 09:00:57,24,2024-03-25 08:05:00,2024-03-25 10:30:00,145.0,290.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR FILTER DAMAGED,CM
AIR HANDLING UNIT-05,AC VENT DIRTY  A1-03A-03,,2023-12-13 08:34:56,24,2023-12-12 07:40:00,2023-12-12 14:05:00,385.0,545.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AC VENT DIRTY  A1-03A-02,,2023-12-13 08:36:36,24,2023-12-12 07:45:00,2023-12-12 10:45:00,180.0,540.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED,,2023-12-20 21:32:11,24,2023-12-19 20:35:00,2023-12-19 23:35:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 003,N,DAMAGED,AIR DUCT CANVASS DAMAGED,CM
